Loading EasyOCR; transcript_count=26
OCR 7652699613761228083 392/398
OCR 7652699613761228083 398/398
DONE 2/26 7652699613761228083
OCR 7653052955993656628 8/292
OCR 7653052955993656628 16/292
OCR 7653052955993656628 24/292
OCR 7653052955993656628 32/292
OCR 7653052955993656628 40/292
OCR 7653052955993656628 48/292
OCR 7653052955993656628 56/292
OCR 7653052955993656628 64/292
OCR 7653052955993656628 72/292
OCR 7653052955993656628 80/292
OCR 7653052955993656628 88/292
OCR 7653052955993656628 96/292
OCR 7653052955993656628 104/292
OCR 7653052955993656628 112/292
OCR 7653052955993656628 120/292
OCR 7653052955993656628 128/292
OCR 7653052955993656628 136/292
OCR 7653052955993656628 144/292
OCR 7653052955993656628 152/292
OCR 7653052955993656628 160/292
OCR 7653052955993656628 168/292
OCR 7653052955993656628 176/292
OCR 7653052955993656628 184/292
OCR 7653052955993656628 192/292
OCR 7653052955993656628 200/292
OCR 7653052955993656628 208/292
OCR 7653052955993656628 216/292
OCR 7653052955993656628 224/292
OCR 7653052955993656628 232/292
OCR 7653052955993656628 240/292
OCR 7653052955993656628 248/292
OCR 7653052955993656628 256/292
OCR 7653052955993656628 264/292
OCR 7653052955993656628 272/292
OCR 7653052955993656628 280/292
OCR 7653052955993656628 288/292
OCR 7653052955993656628 292/292
DONE 3/26 7653052955993656628
OCR 7653429133493439786 8/265
OCR 7653429133493439786 16/265
OCR 7653429133493439786 24/265
OCR 7653429133493439786 32/265
OCR 7653429133493439786 40/265
OCR 7653429133493439786 48/265
OCR 7653429133493439786 56/265
OCR 7653429133493439786 64/265
OCR 7653429133493439786 72/265
OCR 7653429133493439786 80/265
OCR 7653429133493439786 88/265
OCR 7653429133493439786 96/265
OCR 7653429133493439786 104/265
OCR 7653429133493439786 112/265
OCR 7653429133493439786 120/265
OCR 7653429133493439786 128/265
OCR 7653429133493439786 136/265
OCR 7653429133493439786 144/265
OCR 7653429133493439786 152/265
OCR 7653429133493439786 160/265
OCR 7653429133493439786 168/265
OCR 7653429133493439786 176/265
OCR 7653429133493439786 184/265
OCR 7653429133493439786 192/265
OCR 7653429133493439786 200/265
OCR 7653429133493439786 208/265
OCR 7653429133493439786 216/265
OCR 7653429133493439786 224/265
OCR 7653429133493439786 232/265
OCR 7653429133493439786 240/265
OCR 7653429133493439786 248/265
OCR 7653429133493439786 256/265
OCR 7653429133493439786 264/265
OCR 7653429133493439786 265/265
DONE 4/26 7653429133493439786
OCR 7653813315168259334 8/310
OCR 7653813315168259334 16/310
OCR 7653813315168259334 24/310
OCR 7653813315168259334 32/310
OCR 7653813315168259334 40/310
OCR 7653813315168259334 48/310
OCR 7653813315168259334 56/310
OCR 7653813315168259334 64/310
OCR 7653813315168259334 72/310
OCR 7653813315168259334 80/310
OCR 7653813315168259334 88/310
OCR 7653813315168259334 96/310
OCR 7653813315168259334 104/310
OCR 7653813315168259334 112/310
OCR 7653813315168259334 120/310
OCR 7653813315168259334 128/310
OCR 7653813315168259334 136/310
OCR 7653813315168259334 144/310
OCR 7653813315168259334 152/310
OCR 7653813315168259334 160/310
OCR 7653813315168259334 168/310
OCR 7653813315168259334 176/310
OCR 7653813315168259334 184/310
OCR 7653813315168259334 192/310
OCR 7653813315168259334 200/310
OCR 7653813315168259334 208/310
OCR 7653813315168259334 216/310
OCR 7653813315168259334 224/310
OCR 7653813315168259334 232/310
OCR 7653813315168259334 240/310
OCR 7653813315168259334 248/310
OCR 7653813315168259334 256/310
OCR 7653813315168259334 264/310
OCR 7653813315168259334 272/310
OCR 7653813315168259334 280/310
OCR 7653813315168259334 288/310
OCR 7653813315168259334 296/310
OCR 7653813315168259334 304/310
